sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image,combined_score,agreement_score
0,0.0,0.0,0.0,27.41766166687012,22.13981437683105,0.531868260588519,0.531868260588519
1,0.0,0.0,0.0,28.29838752746582,22.883100509643555,0.5556902775748738,0.5556902775748738
2,0.0,0.0,0.0,28.24260902404785,20.588998794555664,0.5201176380587874,0.5201176380587874
3,0.0,0.0,0.0,27.86025047302246,22.573869705200195,0.5447571393630313,0.5447571393630313
4,0.0,0.0,0.0,31.678129196166992,21.820056915283203,0.5877508677435699,0.5877508677435699
5,0.0,0.0,0.0,33.55740737915039,21.28530502319336,0.606432065423608,0.606432065423608
6,0.0,0.0,0.0,36.42853546142578,21.81779670715332,0.6554303255487195,0.6554303255487195
7,0.0,0.0,0.0,26.83984565734864,27.01457977294922,0.5975311602668231,0.5975311602668231
8,0.0,0.0,0.0,31.64994430541992,25.02378463745117,0.6359161911763095,0.6359161911763095
9,0.0,0.0,0.0,35.138370513916016,20.812944412231445,0.6218068144815083,0.6218068144815083
10,0.0,0.0,0.0,29.52876853942871,28.336090087890625,0.655893382140448,0.655893382140448
11,0.0,0.0,0.0,30.91649627685547,19.272125244140625,0.5382688182018127,0.5382688182018127
12,0.0,0.0,0.0,22.651254653930664,15.949304580688477,0.3700810998498778,0.3700810998498778
13,0.0,0.0,0.0,30.158586502075195,16.44675064086914,0.4846339287228368,0.4846339287228368
14,0.0,0.0,0.0,37.105587005615234,19.63260269165039,0.631954658247335,0.631954658247335
15,0.0,0.0,0.0,30.73632049560547,13.082901000976562,0.4418746670489606,0.4418746670489606
16,0.0,0.0,0.0,27.175931930541992,19.793739318847656,0.4928571235645297,0.4928571235645297
17,0.0,0.0,0.0,27.48750114440918,17.693893432617188,0.4654656005237025,0.4654656005237025
18,0.0,0.0,0.0,29.26392364501953,23.3880672454834,0.5771083900393346,0.5771083900393346
19,0.0,0.0,0.0,24.388139724731445,21.2830867767334,0.4756969352132558,0.4756969352132558
20,0.0,0.0,0.0,25.7363338470459,20.94620704650879,0.489807554222526,0.489807554222526
21,0.0,0.0,0.0,28.983190536499023,26.80034637451172,0.6248353611681814,0.6248353611681814
22,0.0,0.0,0.0,21.23321533203125,16.6513671875,0.3605108954066052,0.3605108954066052
23,0.0,0.0,0.0,26.019569396972656,26.3494873046875,0.5757561910684785,0.5757561910684785
24,0.0,0.0,0.0,24.4539794921875,27.08173370361328,0.564540328968349,0.564540328968349
25,0.0,0.0,0.0,29.61246681213379,21.71789932250977,0.556757630606441,0.556757630606441
26,0.0,0.0,0.0,33.15802001953125,17.067485809326172,0.5367988249185843,0.5367988249185843
27,0.0,0.0,0.0,26.058927536010746,18.542381286621094,0.4579649784447296,0.4579649784447296
28,0.0,0.0,0.0,33.81179428100586,22.94585609436035,0.6352313844674461,0.6352313844674461
29,0.0,0.0,0.0,28.67571449279785,20.54543876647949,0.5256309033027284,0.5256309033027284
30,0.0,0.0,0.0,21.519119262695312,20.27228546142578,0.4194777576615641,0.4194777576615641
31,0.0,0.0,0.0,33.79488754272461,19.544652938842773,0.5834296721288409,0.5834296721288409
32,0.0,0.0,0.0,30.05101585388184,17.608797073364258,0.5007166884814906,0.5007166884814906
33,0.0,0.0,0.0,30.03396797180176,33.33356857299805,0.738854185635056,0.738854185635056
34,0.0,0.0,0.0,21.503087997436523,24.15436363220215,0.4780998119309103,0.4780998119309103
35,0.0,0.0,0.0,23.461801528930664,18.40117835998535,0.4188041889699957,0.4188041889699957
36,0.0,0.0,0.0,31.136808395385746,9.811718940734863,0.3979936852354535,0.3979936852354535
37,0.0,0.0,0.0,22.96421432495117,23.609134674072266,0.4906617194962707,0.4906617194962707
38,0.0,0.0,0.0,29.15375328063965,27.17491912841797,0.6329449693063143,0.6329449693063143
39,0.0,0.0,0.0,20.68149375915528,24.29124641418457,0.4684636419770437,0.4684636419770437
40,0.0,0.0,0.0,28.35824012756348,27.973302841186523,0.633708625240296,0.633708625240296
41,0.0,0.0,0.0,21.74544715881348,19.72920608520508,0.4144710632110596,0.4144710632110596
42,0.0,0.0,0.0,33.74433135986328,22.335168838500977,0.6250120020122107,0.6250120020122107
43,0.0,0.0,0.0,27.70575714111328,22.431615829467773,0.5403984397514278,0.5403984397514278
44,0.0,0.0,0.0,23.71418190002441,20.886110305786133,0.460072151663031,0.460072151663031
45,0.0,0.0,0.0,29.91665267944336,24.397602081298828,0.6017166828552014,0.6017166828552014
